timestamp,timestamp_unix_milli,elapsed_s,connected_clients,total_clients,bytes_sent,bytes_received,uptime_s,lg_connected_clients,ws_rtt_avg_ms,ws_rtt_p50_ms,ws_rtt_p95_ms,ws_rtt_p99_ms,ws_rtt_max_ms,ws_jitter_ms,connection_drops,cpu_percent,memory_mb,migration_event
2026-02-22T18:33:17.839542119+01:00,1771781597839,87.000,4,4,6009391,130312,91.3,4,0.308,0.322,0.364,0.393,0.406,0.027,0,3.00,15.96,0
2026-02-22T18:33:18.839541551+01:00,1771781598839,88.000,4,4,6081151,131752,92.3,4,0.290,0.270,0.367,0.385,0.393,0.021,0,2.00,15.96,0
2026-02-22T18:33:19.839542089+01:00,1771781599839,89.000,4,4,6152911,133192,93.3,4,0.286,0.274,0.354,0.366,0.370,0.015,0,2.00,15.96,0
2026-02-22T18:33:20.83954455+01:00,1771781600839,90.000,4,4,6224671,134632,94.3,4,0.289,0.298,0.343,0.405,0.419,0.026,0,2.00,15.96,0
2026-02-22T18:33:21.839541426+01:00,1771781601839,91.000,4,4,6296431,136072,95.3,4,0.294,0.274,0.372,0.394,0.401,0.024,0,2.00,15.96,0
2026-02-22T18:33:22.839542269+01:00,1771781602839,92.000,4,4,6368191,137512,96.3,4,0.296,0.312,0.354,0.368,0.371,0.019,0,1.00,15.96,0
2026-02-22T18:33:23.839541616+01:00,1771781603839,93.000,4,4,6439951,138952,97.3,4,0.292,0.289,0.354,0.371,0.380,0.023,0,2.00,15.96,0
2026-02-22T18:33:24.839543433+01:00,1771781604839,94.000,4,4,6511711,140392,98.3,4,0.316,0.333,0.365,0.389,0.390,0.024,0,2.00,15.96,0
2026-02-22T18:33:25.839542008+01:00,1771781605839,95.000,4,4,6583471,141832,99.3,4,0.297,0.314,0.358,0.363,0.364,0.019,0,2.00,15.96,0
2026-02-22T18:33:26.839541594+01:00,1771781606839,96.000,4,4,6655232,143273,100.3,4,0.309,0.326,0.367,0.397,0.399,0.021,0,2.00,15.96,0
2026-02-22T18:33:27.839551773+01:00,1771781607839,97.000,4,4,6727023,144744,101.3,4,0.301,0.299,0.349,0.363,0.370,0.019,0,2.00,15.96,0
2026-02-22T18:33:28.839544339+01:00,1771781608839,98.000,4,4,6798823,146224,102.3,4,0.317,0.328,0.394,0.433,0.444,0.021,0,2.00,15.96,0
2026-02-22T18:33:29.839541527+01:00,1771781609839,99.000,4,4,6870050,147704,103.3,4,0.325,0.340,0.400,0.485,0.486,0.024,0,2.00,15.96,0
2026-02-22T18:33:30.83954144+01:00,1771781610839,100.000,4,4,6942423,149184,104.3,4,0.328,0.338,0.398,0.455,0.488,0.030,0,2.00,15.96,0
2026-02-22T18:33:31.839543833+01:00,1771781611839,101.000,4,4,7014223,150664,105.3,4,0.324,0.331,0.395,0.424,0.430,0.023,0,3.00,15.96,0
2026-02-22T18:33:32.839542077+01:00,1771781612839,102.000,4,4,7086023,152144,106.3,4,0.298,0.302,0.363,0.405,0.427,0.019,0,2.00,15.96,0
2026-02-22T18:33:33.839541511+01:00,1771781613839,103.000,4,4,7157823,153624,107.3,4,0.299,0.302,0.351,0.370,0.380,0.018,0,2.00,15.96,0
2026-02-22T18:33:34.839544314+01:00,1771781614839,104.000,4,4,7229623,155104,108.3,4,0.315,0.314,0.391,0.417,0.420,0.020,0,2.00,15.96,0
2026-02-22T18:33:35.839541627+01:00,1771781615839,105.000,4,4,7300850,156584,109.3,4,0.309,0.306,0.373,0.404,0.417,0.021,0,2.00,15.96,0
2026-02-22T18:33:36.839541648+01:00,1771781616839,106.000,4,4,7373223,158064,110.3,4,0.304,0.285,0.383,0.397,0.397,0.022,0,2.00,15.96,1
2026-02-22T18:33:37.839541661+01:00,1771781617839,107.000,4,4,7431809,159544,111.3,4,0.309,0.303,0.387,0.409,0.415,0.026,0,2.00,15.96,0
2026-02-22T18:33:38.839542062+01:00,1771781618839,108.000,0,0,0,0,0.0,4,0.000,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0
2026-02-22T18:33:39.839540665+01:00,1771781619839,109.000,4,4,7491189,165464,113.7,4,311.501,217.262,913.901,918.830,919.272,122.205,0,2.00,16.21,0
2026-02-22T18:33:41.83954092+01:00,1771781621839,111.000,4,4,7495504,165612,113.8,4,0.000,0.000,0.000,0.000,0.000,0.000,0,0.00,16.21,0
2026-02-22T18:33:42.839541591+01:00,1771781622839,112.000,4,4,7556113,166944,114.6,4,0.545,0.556,0.604,0.620,0.624,0.052,0,3.68,16.21,0
2026-02-22T18:33:43.839547703+01:00,1771781623839,113.000,4,4,7627913,168424,115.6,4,0.550,0.562,0.634,0.645,0.650,0.049,0,3.00,16.21,0
2026-02-22T18:33:44.839543729+01:00,1771781624839,114.000,4,4,7699713,169904,116.6,4,0.561,0.576,0.624,0.626,0.627,0.046,0,3.00,16.21,0
